date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:50	1763/1763	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2003:31:41%20GMT	https://headsoccer.io/iframe/index.html	C:/My%20Web%20Sites/https___headsoccer.io_iframe_index.html/headsoccer.io/iframe/index.html	(from )
16:17:50	121/121	---MCZ	200	added ('OK')	text/plain	etag:W/%22350060-1716968043;br%22	https://headsoccer.io/robots.txt		(from )
16:17:51	639/639	---MCZ	200	added ('OK')	application/json	etag:W/%2227f-649ba99c-a1900a45dedda24e;br%22	https://headsoccer.io/iframe/appmanifest.json	C:/My%20Web%20Sites/https___headsoccer.io_iframe_index.html/headsoccer.io/iframe/appmanifest.json	(from https://headsoccer.io/iframe/index.html)
16:17:51	30525/30525	---M--	200	added ('OK')	image/png	etag:%22773d-649ba99e-91ddd336bb9214f0;;;%22	https://headsoccer.io/iframe/icons/icon-128.png	C:/My%20Web%20Sites/https___headsoccer.io_iframe_index.html/headsoccer.io/iframe/icons/icon-128.png	(from https://headsoccer.io/iframe/index.html)
16:17:51	89332/89332	---M--	200	added ('OK')	image/png	etag:%2215cf4-649ba99d-da4194813790e6c6;;;%22	https://headsoccer.io/iframe/icons/icon-256.png	C:/My%20Web%20Sites/https___headsoccer.io_iframe_index.html/headsoccer.io/iframe/icons/icon-256.png	(from https://headsoccer.io/iframe/index.html)
16:17:51	939/939	---MCZ	200	added ('OK')	text/css	etag:W/%223ab-649ba99d-ed2394644cdb090e;br%22	https://headsoccer.io/iframe/style.css	C:/My%20Web%20Sites/https___headsoccer.io_iframe_index.html/headsoccer.io/iframe/style.css	(from https://headsoccer.io/iframe/index.html)
16:17:51	282532/282532	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2244fa4-649ba99d-1ea8c8966bcb4644;br%22	https://headsoccer.io/iframe/box2d.wasm.js	C:/My%20Web%20Sites/https___headsoccer.io_iframe_index.html/headsoccer.io/iframe/box2d.wasm.js	(from https://headsoccer.io/iframe/index.html)
16:17:51	2311/2311	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22907-649ba9a7-7c880a95e501795d;br%22	https://headsoccer.io/iframe/scripts/supportcheck.js	C:/My%20Web%20Sites/https___headsoccer.io_iframe_index.html/headsoccer.io/iframe/scripts/supportcheck.js	(from https://headsoccer.io/iframe/index.html)
16:17:52	603/603	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2225b-649ba9a7-9834c3872999b1f5;br%22	https://headsoccer.io/iframe/scripts/offlineclient.js	C:/My%20Web%20Sites/https___headsoccer.io_iframe_index.html/headsoccer.io/iframe/scripts/offlineclient.js	(from https://headsoccer.io/iframe/index.html)
16:17:52	146474/146474	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2223c2a-649ba9a7-2867cec8f8eccbf1;br%22	https://headsoccer.io/iframe/scripts/main.js	C:/My%20Web%20Sites/https___headsoccer.io_iframe_index.html/headsoccer.io/iframe/scripts/main.js	(from https://headsoccer.io/iframe/index.html)
